Destination,District
Adyar Padavu,Dakshina Kannada
Amingad,Bagalkot
"Ankalimata, Talekat",Raichur
Arsikere,Hassan
B.C.Road,Dakshina Kannada
Badami,Bagalkot
Bagalakote,Bagalkot
Ballari,Bellary
Belagavi,Belagavi
Bengaluru,Bangalore 
Bengaluru Airport,Bangalore Rural
Bilagi,Bagalkot
Birur,Chikmagalur
Bokkapatna,Dakshina Kannada
Challakere,Chitradurga
Chamarajanagar,Chamarajanagar
Channarayapatna,Hassan
Charmadi,Dakshina Kannada
Chikkamagaluru,Chikmagalur
Coimbatore,Coimbatore
Dammur,Bellary
Davanagere,Davanagere
Dharmasthala,Dakshina Kannada
Dotihal,Koppal
Ernakulam,Ernakulam
Farangipete,Dakshina Kannada
Gadag,Gadag
Gajendragad,Gadag
Ganjihal,Bagalkot
Ghatterga,Gulbarga
Gokarna,Uttara Kannada
Gramachavadi,Dakshina Kannada
Guledagudda,Bagalkot
Hanmanhal,Koppal
Harappanahalli,Davanagere
Hassan,Hassan
Haveri,Haveri
Hindupura,Sri Sathya Sai
Holenarasipur,Hassan
Hosadurga,Chitradurga
Hosapete,Bellary
Hubballi,Dharwad
Hungund,Bagalkot
Hyderabad,Hyderabad
Ilkal,Bagalkot
Jamakhandi,Bagalkot
Kabbaragi,Koppal
Kadegoli,Dakshina Kannada
Kadur,Chikmagalur
Kalaburagi,Gulbarga
Kallugudde,Chikmagalur
Kamatagi,Bagalkot
Kanhangad,Kasaragod
Karadi,Bagalkot
Karwar,Uttara Kannada
Kasaragod,Kasaragod
Kateelu,Dakshina Kannada
Kayarthadka,Dakshina Kannada
Kolar,Kolar
Koppal,Koppal
Kudala Sangama,Bagalkot
Kumta,Uttara Kannada
Kundapura,Udupi
Kushtagi,Koppal
Kutta,Kodagu
Laxmeshwar,Gadag
Madikeri,Kodagu
Madurai,Madurai
Mandya,Mandya
Manipal,Udupi
Mantralayam,Kurnool
Mermajalu,Dakshina Kannada
Muddebihal,Bijapur
Mudigere,Chikmagalur
Mudipu,Dakshina Kannada
Mumbai,Mumbai Suburban
Mysuru,Mysore
Ooty,The Nilgiris
Panaji,North Goa
Parapu,Dakshina Kannada
Phajeer,Dakshina Kannada
Polali,Dakshina Kannada
Pune,Pune
Puttur,Dakshina Kannada
Raichur,Raichur
Ramdurg,Belagavi
Ranebennur,Haveri
Rehamathnagar,Dakshina Kannada
Sandur,Bellary
Savadatti Yallamma,Belagavi
Shishila,Dakshina Kannada
Shivamogga,Shimoga
Sindagi,Bijapur
Sirsi,Uttara Kannada
Somwarpet,Kodagu
Subramanya,Dakshina Kannada
Talikoti,Bijapur
Tawargera,Koppal
Tirupati,Tirupati
Udupi,Udupi
Uppinangady,Dakshina Kannada
Valiyullahi Dargha Shareef Jardgaudde Ammembala,Dakshina Kannada
Vijayapura,Bijapur
Virajpet,Kodagu
Vitla,Dakshina Kannada
Yellapur,Uttara Kannada
Yenepoya,Dakshina Kannada
,
,
,
,
,
,
,
,
