"Sl.No",From,Destination,Service Class,Via Place,Time,Slot Label
1,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",05:20:00,2 AM - 6 AM
2,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",05:50:00,2 AM - 6 AM
3,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",06:00:00,6 AM - 10 AM
4,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",06:20:00,6 AM - 10 AM
5,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",06:45:00,6 AM - 10 AM
6,Bengaluru,Kundapura,Multi Axle,Udupi,05:00:00,2 AM - 6 AM
7,Mangaluru,Mysuru,Express,Madikeri,05:00:00,2 AM - 6 AM
8,Mangaluru,Yenepoya,Limited,Thokkottu,05:00:00,2 AM - 6 AM
9,Mangaluru,Mudipu,Limited,Thokkottu,05:00:00,2 AM - 6 AM
10,Mangaluru,Yenepoya,Rajahamsa,Thokkottu,05:00:00,2 AM - 6 AM
11,Mysuru,Manipal,Multi Axle,Udupi,05:05:00,2 AM - 6 AM
12,Mysuru,Udupi,Rajahamsa,Udupi,05:10:00,2 AM - 6 AM
13,Bengaluru,Kundapura,Non Ac Sleeper,Udupi,05:10:00,2 AM - 6 AM
14,Mysuru,Udupi,Rajahamsa,Udupi,05:15:00,2 AM - 6 AM
15,Mangaluru,Bagalakote,Express,Kumta,05:15:00,2 AM - 6 AM
16,Bengaluru,Manipal,Non Ac Sleeper,Udupi,05:20:00,2 AM - 6 AM
17,Mysuru,Udupi,Non Ac Sleeper,Udupi,05:25:00,2 AM - 6 AM
18,Mangaluru,Davanagere,Express,"BC Road, Belthangadi",05:30:00,2 AM - 6 AM
19,Mangaluru,Subramanya,Limited,Uppinangadi,05:30:00,2 AM - 6 AM
20,Mangaluru,Mysuru,Express,Madikeri,05:30:00,2 AM - 6 AM
21,Mangaluru,Yenepoya,Express,Thokkottu,05:30:00,2 AM - 6 AM
22,Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",05:40:00,2 AM - 6 AM
23,Mangaluru,Puttur ,Express,B.C.Road,05:40:00,2 AM - 6 AM
24,Bengaluru,Kundapura,Multi Axle,Udupi,05:45:00,2 AM - 6 AM
25,Bengaluru,Udupi,Non Ac Sleeper,Udupi,05:45:00,2 AM - 6 AM
26,Bengaluru,Kundapura,Multi Axle,Udupi,05:45:00,2 AM - 6 AM
27,Bengaluru,Kundapura,Dream class,Udupi,05:45:00,2 AM - 6 AM
28,Mangaluru,Bengaluru,Express,Sakleshpura,05:45:00,2 AM - 6 AM
29,Mangaluru,Puttur,Express,B.C.Road,05:50:00,2 AM - 6 AM
30,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",05:55:00,2 AM - 6 AM
31,Mangaluru,Mudipu,Limited,Thokkottu,06:00:00,6 AM - 10 AM
32,Mangaluru,Kanhangad,Express,"Thokkottu, Kumble",06:00:00,6 AM - 10 AM
33,Bengaluru,Kundapura,Rajahamsa,Udupi,06:00:00,6 AM - 10 AM
34,Bengaluru,Kundapura,Dream class,Udupi,06:00:00,6 AM - 10 AM
35,Bengaluru,Manipal,Multi Axle,Udupi,06:00:00,6 AM - 10 AM
36,Mangaluru,Bengaluru,Volvo,Sakleshpura,06:00:00,6 AM - 10 AM
37,Mangaluru,Subramanya,Limited,Uppinangadi,06:00:00,6 AM - 10 AM
38,Mysuru,Bengaluru,Express,Madikeri,06:00:00,6 AM - 10 AM
39,Mangaluru,Yenepoya,Limited,Thokkottu,06:00:00,6 AM - 10 AM
40,Mangaluru,Yenepoya,Limited,Thokkottu,06:00:00,6 AM - 10 AM
41,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:04:00,6 AM - 10 AM
42,Bengaluru,Kundapura,Ambari utsav,Udupi,06:05:00,6 AM - 10 AM
43,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:08:00,6 AM - 10 AM
44,Mangaluru,Mudipu,Limited,Thokkottu,06:10:00,6 AM - 10 AM
45,Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:12:00,6 AM - 10 AM
46,Mangaluru,Yenepoya,Non Ac Sleeper,Thokkottu,06:15:00,6 AM - 10 AM
47,Mangaluru,Dharmasthala,Express,"BC Road, Belthangadi",06:15:00,6 AM - 10 AM
