From,Destination,Service Class,Via Place,Time,Slot Label,District,State,Population_Millions,Urbanisation Level,Region_Type,Interstate_Flag,Start,End,Urban_Level_Num,Interstate_Flag_Num
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",05:20:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",05:50:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",06:20:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",06:45:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Bengaluru,Kundapura,Multi Axle,Udupi,05:00:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Mangaluru,Mysuru,Express,Madikeri,05:00:00,2 AM - 6 AM,Mysore,Karnataka,3.42,Very High,Top Urban,No,02:00:00,06:00:00,5,0
Mangaluru,Yenepoya,Limited,Thokkottu,05:00:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mangaluru,Mudipu,Limited,Thokkottu,05:00:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mangaluru,Yenepoya,Rajahamsa,Thokkottu,05:00:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mysuru,Manipal,Multi Axle,Udupi,05:05:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Mysuru,Udupi,Rajahamsa,Udupi,05:10:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Bengaluru,Kundapura,Non Ac Sleeper,Udupi,05:10:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Mysuru,Udupi,Rajahamsa,Udupi,05:15:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Mangaluru,Bagalakote,Express,Kumta,05:15:00,2 AM - 6 AM,Bagalkot,Karnataka,2.15,Moderate,Semi Urban,No,02:00:00,06:00:00,3,0
Bengaluru,Manipal,Non Ac Sleeper,Udupi,05:20:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Mysuru,Udupi,Non Ac Sleeper,Udupi,05:25:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Mangaluru,Davanagere,Express,"BC Road, Belthangadi",05:30:00,2 AM - 6 AM,Davanagere,Karnataka,2.22,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mangaluru,Subramanya,Limited,Uppinangadi,05:30:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mangaluru,Mysuru,Express,Madikeri,05:30:00,2 AM - 6 AM,Mysore,Karnataka,3.42,Very High,Top Urban,No,02:00:00,06:00:00,5,0
Mangaluru,Yenepoya,Express,Thokkottu,05:30:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",05:40:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mangaluru,Puttur ,Express,B.C.Road,05:40:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Bengaluru,Kundapura,Multi Axle,Udupi,05:45:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Bengaluru,Udupi,Non Ac Sleeper,Udupi,05:45:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Bengaluru,Kundapura,Multi Axle,Udupi,05:45:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Bengaluru,Kundapura,Dream class,Udupi,05:45:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0
Mangaluru,Bengaluru,Express,Sakleshpura,05:45:00,2 AM - 6 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,02:00:00,06:00:00,5,0
Mangaluru,Puttur,Express,B.C.Road,05:50:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",05:55:00,2 AM - 6 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,02:00:00,06:00:00,1,1
Mangaluru,Mudipu,Limited,Thokkottu,06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kanhangad,Express,"Thokkottu, Kumble",06:00:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Bengaluru,Kundapura,Rajahamsa,Udupi,06:00:00,6 AM - 10 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,06:00:00,10:00:00,1,0
Bengaluru,Kundapura,Dream class,Udupi,06:00:00,6 AM - 10 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,06:00:00,10:00:00,1,0
Bengaluru,Manipal,Multi Axle,Udupi,06:00:00,6 AM - 10 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,06:00:00,10:00:00,1,0
Mangaluru,Bengaluru,Volvo,Sakleshpura,06:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Subramanya,Limited,Uppinangadi,06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mysuru,Bengaluru,Express,Madikeri,06:00:00,6 AM - 10 AM,Bangalore ,Karnataka,10.96,Very High,Top Urban,No,06:00:00,10:00:00,5,0
Mangaluru,Yenepoya,Limited,Thokkottu,06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Yenepoya,Limited,Thokkottu,06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0
Mangaluru,Kasaragod,Limited,"Thokkottu, Kumble",06:04:00,6 AM - 10 AM,Kasaragod,Kerala,1.36,Low,Mid Rural,Yes,06:00:00,10:00:00,1,1
Bengaluru,Kundapura,Ambari utsav,Udupi,06:05:00,6 AM - 10 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,06:00:00,10:00:00,1,0
