From,Destination,Service Class,Via Place,Time,Slot Label,District,State,Population_Millions,Urbanisation Level,Region_Type,Interstate_Flag,Start,End,Urban_Level_Num,Interstate_Flag_Num,Time_Score,Crowd_Risk_Score,Crowd_Risk_Level
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",05:20:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",05:50:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",06:00:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",06:20:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0,3,2.4139999999999997,High
Mangaluru,Dharmasthala,Limited,"BC Road, Belthangadi",06:45:00,6 AM - 10 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,06:00:00,10:00:00,4,0,3,2.4139999999999997,High
Bengaluru,Kundapura,Multi Axle,Udupi,05:00:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Mangaluru,Mysuru,Express,Madikeri,05:00:00,2 AM - 6 AM,Mysore,Karnataka,3.42,Very High,Top Urban,No,02:00:00,06:00:00,5,0,1,2.3259999999999996,High
Mangaluru,Yenepoya,Limited,Thokkottu,05:00:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Mangaluru,Mudipu,Limited,Thokkottu,05:00:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Mangaluru,Yenepoya,Rajahamsa,Thokkottu,05:00:00,2 AM - 6 AM,Dakshina Kannada,Karnataka,2.38,High,Mid Urban,No,02:00:00,06:00:00,4,0,1,1.814,Medium
Mysuru,Manipal,Multi Axle,Udupi,05:05:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Mysuru,Udupi,Rajahamsa,Udupi,05:10:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
Bengaluru,Kundapura,Non Ac Sleeper,Udupi,05:10:00,2 AM - 6 AM,Udupi,Karnataka,1.34,Low,Mid Rural,No,02:00:00,06:00:00,1,0,1,0.9020000000000001,Very Low
